bulk	1
satisfaction	1
joy	3
packs	1
buff^do	1
^fn	1
efforts	2
arabic1digit	10
equally	3
ought	1
muzzle	3
steps	2
mind	2
king	1
feast	1
wild	12
score	4
received	1
absence	1
praise	1
don't	1
frontlet	1
vengeful	1
burden	1
vec	4
went	9
same	9
suddenly	3
alike	1
rise	1
grand	2
fraiilein	1
thorns	2
squads	1
silenced	1
appetising	1
opposite	1
romannumeral	7
selvedge	1
amazement	1
having	12
deadly	1
better	7
comprehend	1
gladness	1
should	4
zig	1
aspect	1
barrel	2
form	1
district	1
fierce	1
words	2
answered	1
pict	3
loud	6
decided	1
thorny	1
tied	1
spare	1
himmel	1
consciousness	1
dangerously	1
go	6
anthills	7
belief	1
now	30
climes	1
become	2
the	638
planned	1
recked	1
avail	1
enemy	1
pictd	1
ireking	1
remembered	2
spared	1
guidance	1
enough	8
bushes	3
impunity	1
inclined	2
african	3
ascertained	1
habit	3
provisioning	1
jerked	2
son	1
quadrupeds	1
thick	3
hungry	2
encamped	1
cars	2
unreflectingly	1
passing	3
doing	2
give	3
fibre	1
wash	1
by	73
figures	1
as	134
luit	1
laughter	3
best	7
perplexities	1
home	2
than	30
empty	4
bounding	1
impulse	4
another	19
hand	5
scratches	2
sound	3
only	15
savage	1
tall	2
full	6
misfortune	1
scanning	2
tropical	1
continued	5
lion	7
here	2
thousand	1
terrible	1
galloping	4
laughed	1
catching	3
level	5
hostile	1
becomes	2
croup	1
speed	3
find	2
sooner	2
intervening	1
uneasy	1
established	1
astride	1
pursued	4
scrambling	1
little	9
scampering	1
volleys	1
light	7
control	1
strings	1
calm	1
flooded	1
crippled	1
life	5
remained	4
courage	2
newly	1
dazzled	1
midst	1
often	2
safer	2
threatened	1
hunting	3
whether	1
mocked	1
anticipation	1
miss	1
troubled	1
bullets	1
maniac	1
size	2
hot	2
questions	1
pulled	2
mechanically	1
requisition	1
itself	9
at	60
departure	1
south	7
beside	1
flexible	1
heads	1
so	50
twin	2
giving	4
obtainable	1
trro	1
groping	1
born	1
report	2
just	6
across	2
glimpse	1
scream	1
coming	5
know	3
proceeding	1
rising	1
grasping	1
summit	1
sacrificed	1
strips	1
last	8
evident	1
his	158
jager	1
shots	1
circumstances	1
sprang	1
sighting	1
tone	1
canis	1
following	1
poor	2
h)'potlicsis	1
blom	4
rang	1
sparing	1
practice	1
after	14
nature	2
search	2
questioning	1
change	1
succeed	1
swarming	2
foremost	2
escape	4
former	4
dismayed	1
ever	10
affinities	1
wearied	2
snapping	1
impale	1
towards	8
sharper	1
butchered	1
snuffbox	1
general	2
species	2
wished	1
three	6
due	1
there	52
bleeding	2
alternatives	1
sheep	2
guided	1
prolonged	2
forced	2
fro	5
receive	3
veldt	23
close	6
hottest	1
teeth	1
out	24
i'm	1
smaller	1
coat	1
curls	1
wounds	3
kill	1
filled	2
puddle	1
ah	1
crack	1
league	1
smoking	2
bottom	1
something	6
timber	4
absolute	1
nmii^	1
africans	2
arrived	1
causing	2
arm	1
other	14
shorter	1
frame	1
bethought	5
ss	1
aggressor	1
trace	1
irksome	1
leopards	1
took	7
ugly	2
bear	2
gather	1
shout	1
hyenas	2
came	17
broke	1
fires	1
makes	1
contemplating	1
crush	2
tit	1
nigh	2
straggled	1
trampling	2
interfere	1
trunk	2
determined	4
unhappy	1
deterred	1
extracted	1
ascending	1
slangs^	1
track	3
galloped	1
wings	1
shot	6
guns	1
permit	1
forward	1
shock	3
nothing	6
surrounded	1
morning	3
slow	1
n	1
caps	1
surprised	2
trudge	1
affectionate	2
greater	4
earth	2
present	1
bare	2
dropping	1
unacquainted	1
skeletons	1
generous	1
likelihood	2
fired	3
supposed	3
against	3
die	1
approach	1
trough	1
recognition	1
lost	8
signs	1
dreaded	1
turning	3
hindering	1
reckless	1
attempt	4
resisted	1
crouched	1
hit	1
proceeded	1
number	2
days	1
disappeared	1
adding	1
telling	2
lover	1
fly	2
concealment	1
kick	1
bent	1
target	1
results	1
thus	7
aurora	1
he	220
unpalatable	1
promise	1
spell	1
up	30
clasp	1
trained	1
obstruction	5
hunters	3
can	4
pieces	1
within	6
fire	7
proper	1
dipev	1
damper	1
agony	2
right	3
question	3
getting	4
terrain	1
repeated	1
horses	9
earned	1
whose	4
allowed	1
cause	2
avoided	2
thirst	1
terrific	1
blotches	1
lightly	1
quadruped	1
echoes	1
soliloquized	1
around	15
breadth	2
thin	1
different	7
known	7
peal	2
party	2
throughout	1
hailed	1
keen	2
ant	2
boer	2
seemed	7
banded	1
lightning	4
attack	2
on	67
lions	1
staying	1
white	2
wink	1
overcast	1
quivering	1
piggledy	1
along	8
meat	3
pestilent	1
hopes	2
commonly	1
everywhere	1
create	1
below	3
however	9
comfortable	1
masters	1
nearing	1
tufts	1
repetition	1
cachinnations	2
ensconced	1
sort	1
engaged	1
gone	6
falter	1
humiliating	1
reclosing	1
bring	3
ran	2
tlicm	1
break	1
recognised	1
routing	1
confident	2
recalling	3
spoil	1
biting	1
since	4
insignificant	1
shouted	1
marks	2
yellow	1
ways	1
major	1
sisters	2
ablaze	1
anything	1
tsetse	14
delving	1
trice	1
