chink	1
planks	1
arabic1digit	1
he'll	4
death	2
fiddle	1
rascallion	1
read	1
rooms	1
grewjou	1
nom	1
but	22
skinned	1
older	2
went	4
same	2
keep	2
mr	7
for	15
don't	2
p'intment	1
twuz	5
buse	1
room	3
ole	22
better	3
honger	1
had	17
greenhouse	1
poke	1
she	39
teach	1
hickory	1
dram	1
loud	1
vote	5
go	11
now	6
ridin	1
hard	2
oudacious	1
marter	1
nurr	4
did	5
wherr	1
fool	1
time	4
begin	1
spend	2
fond	1
scandalous	1
wuth	1
own	3
by	7
as	18
see	14
wheat	1
home	7
al'ays	2
gettin	1
cornder	2
anybody	1
hand	5
answer	1
conjured	1
from	6
lec	1
full	1
kiss	2
togurr	1
lion	1
sweet	3
cheers	1
rest	1
freeze	1
kickin	1
nigger	6
ride	1
find	1
filly	1
yes	1
ple	1
promise	2
farst	1
little	1
hut	1
big	4
buckle	1
step	2
light	1
comin	1
strings	1
when	13
soon	2
grieve	1
niggers	4
seventy	1
tablecloths	1
natchel	1
heself	3
everything	2
clabberish	1
pleasure	1
riveted	1
miss	12
lawn	1
folks	3
chickens	1
heah	4
fat	1
spen	1
want	1
whet	1
at	4
road	2
moufful	1
paper	1
herself	1
tryin	1
feelin	2
sont	3
puppy	1
so	22
faithful	1
befo	3
nominated	1
dyah	9
across	1
tunned	1
hunderd	1
deah	1
peepin	1
jes	14
nor	1
aggrivate	1
vite	1
tempt	1
say	24
confirmation	1
any	2
poppin	1
right	4
thought	2
beat	4
leetle	3
second	1
willin	2
forester	1
how	4
myself	2
after	4
mill	1
reveller	1
upped	1
barn	2
drappin	1
rain	1
supter	1
laugh	1
fence	1
nuttin	7
suh	4
ever	3
comp'ny	1
kilt	1
one	5
bacon	1
skeerin	1
he	137
tremble	1
overlook	1
bed	2
fyah	2
left	1
christmas	5
satisfied	1
oh	5
gent'mens	1
meek	5
tole	1
ef	16
chile	1
fust	1
tarry	1
co'se	3
women	1
offde	1
too	7
honey	1
nowhar	2
marse	34
answerin	1
took	1
young	2
died	1
piece	1
could	2
was	3
whole	1
you'll	1
clean	1
balanced	1
me	41
nigh	1
f	1
pester	1
nat	1
hat	1
ready	1
galloped	1
a	34
hate	1
flowers	1
havin	1
pocket	1
name	1
mos	2
hawgs	1
couldn	3
torment	1
how'd	1
letter	3
dance	1
sutney	13
umm	1
douten	1
mens	1
prowlin	1
don	5
an	165
die	5
nem	1
todes	1
boy	1
ought	1
sea	1
ve'y	2
urr	1
hit	12
shop	1
anxiouser	1
cler	1
days	3
mighty	7
yesman	1
kyarn	5
anyhow	1
egg	1
dyin	1
best	1
ontwist	1
since	1
toiler	1
chimley	2
voice	1
up	13
huttin	1
huntin	1
plenty	1
gentlemen	1
squealin	1
dimplin	1
get	1
else	1
bust	2
free	2
warn	9
know	17
carpenter	1
horses	1
baptise	1
pay	2
cause	17
m	1
eat	1
pin	2
em	7
stan	1
tell	28
damas	1
either	1
wouldn	4
kill	2
shakin	1
tun	2
next	7
whar	8
sto	1
on	17
weddin	1
white	1
cousin	1
save	1
who	3
lay	1
mus'n	1
wuz	38
cry	1
speerits	1
lookin	1
cotch	1
ap'on	1
signication	1
nuther	1
worry	1
houses	1
studyin	1
chambers	1
dat	62
blood	1
mous	2
bosom	1
shake	1
beau	1
cuss	2
hi	3
squirmin	1
didn't	1
mixed	1
shet	1
sleep	2
gol	1
round	1
feel	1
each	1
sho	7
placename	1
evil	1
chins	1
knock	1
solemn	1
mornin	3
mammy	1
breeches	1
y	2
i	86
mad	1
fire	1
suppose	1
onder	2
de	81
even	2
which	2
bouten	1
tender	1
sick	1
senator	1
roun	5
rage	1
cryin	1
sell	1
patient	1
used	2
straughted	1
lead	1
kercumber	1
way	10
i'd	4
hoi	1
skoripin	1
away	1
coat	1
crowin	1
my	13
kitchen	1
holy	4
milk	1
great	8
year	1
or	6
womens	1
baitgode	1
old	2
is	4
wood	1
failin	1
unc	11
bonny	1
able	1
breckin	1
gwine	16
weather	1
do	13
presney	2
jaw	1
logs	1
office	2
clamped	1
about	1
man	5
what	10
bow	1
challenge	1
runnin	1
help	1
lonesome	2
gi	5
woman	2
lected	2
till	2
fo	1
ceivin	1
buil	1
wurrms	1
box	1
cold	3
harnts	1
s'prised	1
gits	1
lie	2
wen	1
cup	1
finally	1
breshed	1
den	16
nough	2
tricked	1
semen	2
d	1
letters	1
torectly	4
tote	1
anyways	2
callin	1
why	1
to	64
pologizee	1
darkness	1
will	2
personalname	57
horse	1
skittish	1
corn	1
off	8
gal	5
dem	3
shut	3
goes	1
tiful	1
holler	1
foolishness	1
set	8
stonished	1
jedge	2
over	5
totin	1
lean	1
ease	1
edinburg	12
wistful	1
tyah	1
let	1
riff	1
dust	1
snortin	1
land	3
heaviest	1
part	1
and	3
black	1
constant	1
conjure	1
sorry	1
gin	1
doin	2
walk	3
aunt	4
skeered	2
hinst	1
water	1
pinter	1
dis	3
hands	2
twix	1
caged	1
today	1
rattle	1
pass	3
put	5
reched	1
tup	1
weared	1
meet	2
grievin	1
handle	1
rid	1
b'lieve	1
much	3
nur	1
dlers	1
nights	2
soned	1
washhouse	1
down	6
evenin	1
drawed	1
sich	3
keer	1
s'pose	2
bes	2
wonder	1
pieces	1
mam	1
gauged	1
bright	1
bout	10
lef	1
edmurg	1
less	1
g'wine	1
stock	2
anything	1
mo	4
silver	2
bleeged	4
house	6
cross	2
tions	1
fixed	1
impident	1
git	13
stracted	2
feared	2
mean	1
heart	1
seed	1
rum	1
fringe	1
wrench	1
night	6
cut	1
pond	1
een	1
wrap	1
nuver	5
done	25
mightily	2
high	2
mistis	8
faced	1
gran'pa	1
look	5
long	12
twixt	1
faces	1
disapp'int	1
kin	3
bowl	1
skoripins	1
supper	2
bad	2
strandeliers	1
lections	2
foolin	1
years	1
well	12
agin	2
mine	5
le	2
arfter	1
stop	3
soun	1
west	1
wife	1
good	5
looked	1
eve	1
nobody	8
knew	1
like	13
bread	1
run	2
miles	1
spurred	1
lotte	2
darker	5
out	15
arterward	1
sprinciple	1
gittin	3
him	46
hyah	1
sep'n	1
sort	8
missis	1
saw	1
treat	1
day	5
arms	1
alterate	1
business	1
two	3
forgit	1
buy	2
dinin	1
talkin	1
char	2
propernoun	6
hopin	1
sometimes	1
gardener	1
braxton	3
college	1
ginst	2
would	3
parties	1
ar	1
fine	3
whup	3
gord	6
fault	1
been	7
it	18
ain	31
speak	1
locofoco	1
chany	1
perrify	1
eyes	1
clustered	1
hall	1
river	3
yard	2
arter	4
flung	1
weepin	1
axe	10
settin	2
all	21
zerves	1
maybe	2
place	1
think	1
no	7
ring	1
dog	1
knowed	2
whetstone	1
stepped	1
ap'ons	1
writin	1
cool	1
politics	1
wid	16
back	9
tomorrow	1
twarn	1
won	1
of	5
far	1
sweetheart	1
pictures	1
notify	1
didn	4
cowhide	1
not	2
fall	1
while	1
whelps	1
he'd	5
uhc	1
sense	3
dee	37
in	32
walked	1
whig	1
foots	1
stilyuds	1
e'vy	1
spectin	1
marster	13
some	8
o	17
walkin	1
collar	1
most	3
breck	2
fixin	1
dout	1
minute	2
times	2
horsewhip	1
wud	3
disap	1
come	16
leg	1
write	2
superintend	1
ain't	2
hug	2
nog	1
be	6
anxious	1
crow	1
things	2
arabic2digit	10
fid	1
coffin	1
plantation	1
call	3
gulf	1
her	35
teck	7
dead	1
wait	1
glad	1
alone	1
lies	1
pa	3
hongry	1
thing	3
you	24
gentmens	1
we	11
arn	1
foot	1
coon	1
show	1
laughin	1
marry	3
got	26
jest	1
table	4
